subject,session_idx,session_name,rel_path,n_frames_in_file,frame_idx,delta_m_pct,class_label,qc_nan_inf,qc_flatline,qc_low_in_band,qc_pass,qc_in_band_ratio,qc_n_flatline_traces,qc_rx_max_flatline,qc_fail_any,session_n_pass,session_min_pass,session_eligible
1,0,8am,subject_1_8am.mat,125,0,0.0,0,False,False,False,True,0.39180146936055277,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,1,0.0,0,False,False,False,True,0.38571537828175206,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,2,0.0,0,False,False,False,True,0.3833458364347531,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,3,0.0,0,False,False,False,True,0.3808440689345712,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,4,0.0,0,False,False,False,True,0.385300331344917,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,5,0.0,0,False,False,False,True,0.379650873651352,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,6,0.0,0,False,False,False,True,0.38862784871633316,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,7,0.0,0,False,False,False,True,0.3796419752286127,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,8,0.0,0,False,False,False,True,0.37625330340219776,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,9,0.0,0,False,False,False,True,0.3727763648614621,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,10,0.0,0,False,False,False,True,0.37373001261025485,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,11,0.0,0,False,False,False,True,0.3762974381726317,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,12,0.0,0,False,False,False,True,0.3765965107919025,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,13,0.0,0,False,False,False,True,0.3785410922692554,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,14,0.0,0,False,False,False,True,0.37255703395049294,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,15,0.0,0,False,False,False,True,0.38080362397273937,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,16,0.0,0,False,False,False,True,0.37640708249654575,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,17,0.0,0,False,False,False,True,0.3753338072208168,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,18,0.0,0,False,False,False,True,0.3734553468185827,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,19,0.0,0,False,False,False,True,0.3717768962505048,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,20,0.0,0,False,False,False,True,0.37310314904053155,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,21,0.0,0,False,False,False,True,0.37260144420191044,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,22,0.0,0,False,False,False,True,0.37462253971369747,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,23,0.0,0,False,False,False,True,0.376008538424202,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,24,0.0,0,False,False,False,True,0.3768466298522685,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,25,0.0,0,False,False,False,True,0.3815493208395058,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,26,0.0,0,False,False,False,True,0.37307573858552623,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,27,0.0,0,False,False,False,True,0.37709437051691647,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,28,0.0,0,False,False,False,True,0.3783177087281319,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,29,0.0,0,False,False,False,True,0.3783020993220688,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,30,0.0,0,False,False,False,True,0.37360678868037556,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,31,0.0,0,False,False,False,True,0.3723093675605653,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,32,0.0,0,False,False,False,True,0.3763003534613432,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,33,0.0,0,False,False,False,True,0.38180718713633766,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,34,0.0,0,False,False,False,True,0.37065461276275413,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,35,0.0,0,False,False,False,True,0.3698904695181736,0,0,False,125,63,True
1,0,8am,subject_1_8am.mat,125,36,0.0,0,False,False,False,True,0.3770071222100008,0,0,False,125,63,True
